text,predicted_category,risk_score,confidence,sentiment_label,sentiment_score,alert_level,top_keywords,key_entities,analyst_summary
"!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-*-!-!-*-!-*-!-!-*-!-*! Twin Size - Mattress, Box Spring and Frame for SALE. ** Medico-Pedic [type of mattress?] ** Excellent condition ** 2 yrs old ** Well maintained -- You come and pick it up, stuff i…",Fraud,59.3,0.848,neutral,0.0,Medium,"['415', 'dec com', 'yrs', '324', '617', 'twin', 'pa', 'dec']","['Twin Size - Mattress (PERSON)', 'Box Spring (GPE)', 'Frame for SALE (ORG)']","Fraud signal detected. Key terms: 415, dec com, yrs, 324, 617, twin."
"The only way to view this method of generating unit keys is as a back-door. What else can you call a key deterministically generated from the serial number? To generate the unit key for a serial number N, the 30-bit value N is first padded with a fixed 34-bit …",Cyber,59.2,0.696,neutral,0.0,Medium,"['s1', 's1 s2', 's2', 'bit', 's2 s1', 'r3', 'r2', 'n1']","['N (ORG)', 'R2 (DATE)', 'R2 (PERSON)', 'U2 (ORG)', 'U (ORG)']","Cyber signal detected. Key terms: s1, s1 s2, s2, bit, s2 s1, r3."
"THE WHITE HOUSE Office of the Press Secretary (Vancouver, British Columbia) ______________________________________________________________ BACKGROUND BRIEFING BY SENIOR ADMINISTRATION OFFICIALS April 4, 1993 Canada Place Vancouver, British Columbia 9:40 A.M. P…",Sanctions/Compliance,58.6,0.781,positive,1.0,Medium,"['senior', 'russia', 'administration', 'russian', 'official', 'president', 'funds', 'food']","['THE WHITE HOUSE\n\n                  Office of the Press (ORG)', 'Vancouver (GPE)', 'British Columbia (GPE)', 'BACKGROUND BRIEFING\n                                (ORG)', 'April 4, 1993 (DATE)', 'Canada Place (ORG)', 'A.M. PST\n\t     \n\t     \n\t     Folks (ORG)', 'Clinton (PERSON)']","Sanctions/Compliance signal detected. Key terms: senior, russia, administration, russian, official, president."
"For Sale: Complete Amiga 1000 computer system $450 or best offer Amiga 1000 512k RAM 1 Internal, 1 External 3.5"" floppy diskette drive Detachable Keyboard Two Button Mouse RGB Monitor…",Fraud,58.4,0.834,neutral,0.0,Medium,"['amiga', '1000', 'rgb monitor', 'external floppy', 'detachable', '512k', 'rgb', '450']","['Complete Amiga 1000 (PERSON)', '512k RAM (PERSON)', '1 Internal (ORG)', 'Detachable Keyboard (PERSON)', 'Button Mouse (PERSON)', 'RGB Monitor (PERSON)']","Fraud signal detected. Key terms: amiga, 1000, rgb monitor, external floppy, detachable, 512k."
" Does the phrase ""Innocent until proven guilty"" have ANY meaning anymore? -- jmd@handheld.com…",Physical Threat,58.4,0.584,neutral,0.0,Medium,"['jmd handheld', 'jmd', 'handheld com', 'handheld', 'proven', 'phrase', 'anymore', 'guilty']",[],"Physical Threat signal detected. Key terms: jmd handheld, jmd, handheld com, handheld, proven, phrase."
" David, Neither (1) or (2) apply with the government, though. The feds, unlike Apple, have repeatedly demonstrated that trust is an unsafe thread on which to hang your freedom. Why? Because unlike Apple in (2), the govt has no credibility to lose. I'm serious …",Cyber,58.3,0.686,neutral,0.0,Medium,"['agency', 'trust', 'govt', 'computer', 'apple', 'unlike', 'examples', 'concerted']","['David (PERSON)', 'Apple (ORG)', 'IRS (ORG)', 'RTC (ORG)', 'FCC (ORG)', 'FAA (ORG)', 'FBI (ORG)', 'NSA (ORG)']","Cyber signal detected. Key terms: agency, trust, govt, computer, apple, unlike."
" I don't think mr. Clinton can even understand the technical details of the clipper encryption scheme. So, his ""assurances"" are of no value at al, if he gives them he just says what a panel of experts(?) told him. If I lived in the USA, I would hope those expe…",Cyber,58.3,0.686,neutral,0.0,Medium,"['experts', 'assurances', 'think mr', 'technical details', 'clipper encryption', 'mr clinton', 'encryption scheme', 'favorite']","['Clinton (PERSON)', 'USA (GPE)']","Cyber signal detected. Key terms: experts, assurances, think mr, technical details, clipper encryption, mr clinton."
IM pleased to announce a new revolutionary device that allows you to copy super nintendo and genesis games to floppy disk. Then later play from floppy disk with out the cart. This is a independent system that interfaces with your SNES or Genesis. OTHER FEATURE…,Fraud,58.3,0.833,neutral,0.0,Medium,"['game', 'snes', 'games', 'disk', 'floppy', 'floppy disk', 'save', 'genesis']","['IM (ORG)', 'Genesis (ORG)', 'SNES (GPE)', 'The Multi-Game Hunter (ORG)', 'SNES (ORG)', 'IBM (ORG)', 'MGH (ORG)', 'Game (LOC)']","Fraud signal detected. Key terms: game, snes, games, disk, floppy, floppy disk."
" This is about the third person who's parroted the FBI's line about the fires being set ""six hours after the tear gas was injected."" Suppose you want to explain to us the videotape footage shown on national TV last night in which a tank with the gas-injecting …",Physical Threat,58.3,0.583,neutral,0.0,Medium,"['building', 'gas', 'injecting', 'footage', 'injected', 'videotape', 'injection', 'pulling']","['FBI (ORG)', 'Suppose (PERSON)']","Physical Threat signal detected. Key terms: building, gas, injecting, footage, injected, videotape."
" Rather, people kill people with guns. The sad truth is: sometimes that is good, or at least, better than the alternative. Ok. There are about 1400 fatal firearm accidents per year [1], and the number has been in decline since early this century [2]. Most of t…",Physical Threat,58.2,0.582,negative,-1.0,Medium,"['000', 'deaths', 'accidental deaths', 'accidental', '11', 'kill', '00', '12']","['early this century (DATE)', 'Mark II (PERSON)', '- T. Jefferson (PERSON)', 'Jefferson (PERSON)']","Physical Threat signal detected. Key terms: 000, deaths, accidental deaths, accidental, 11, kill."
"THE WHITE HOUSE Office of the Press Secretary _____________________________________________________________________ For Immediate Release April 15, 1993 PRESS BRIEFING BY GEORGE STEPHANOPOULOS The Briefing Room 1:04 P.M. EDT MR. STEPHANOPOULOS: Good afternoon.…",Sanctions/Compliance,58.2,0.776,negative,-1.0,Medium,"['stephanopoulos', 'mr', 'president', 'said', 'know', 'vat', 'dole', 'going']","['THE WHITE HOUSE\n\n                    Office of the Press (ORG)', 'Immediate Release (ORG)', 'April 15, 1993 (DATE)', 'GEORGE STEPHANOPOULOS\n\n                           (PERSON)', 'MR (GPE)', 'STEPHANOPOULOS (ORG)', 'Dole (PERSON)', 'Tuesday (DATE)']","Sanctions/Compliance signal detected. Key terms: stephanopoulos, mr, president, said, know, vat."
 All very true. I'm going on what I have read and heard from friends. Basically the Glock is great but I have heard/read that it is a lot harder to learn proper handling because of the type of safety that it has. I was looking at a Glock .40S&W and the S&W 400…,Physical Threat,58.1,0.581,positive,1.0,Medium,"['glock', 'safety', 'semi auto', 'semi', 'auto', 'pull gun', 'lot harder', 'course just']","['4006 (DATE)', 'a couple of weeks ago (DATE)', 'Colt .45 (PERSON)']","Physical Threat signal detected. Key terms: glock, safety, semi auto, semi, auto, pull gun."
"Items for sale..... This package was bought throught a award give-away company. I attempted to cancel my order before I received the package, but I was too late and the company refused to take the package back for refund. I know the truth which I would never g…",Fraud,58.1,0.83,neutral,0.0,Medium,"['package', 'hotel', 'voucher', 'hotel tax', 'meals', 'rt', 'vacation', 'wish']","['3D (ORG)', 'Bahama (PERSON)', 'RT (GPE)', 'Freeport (GPE)', 'Las Vegas (GPE)', 'Reno (GPE)', 'Orlando (GPE)', 'Cancun (GPE)']","Fraud signal detected. Key terms: package, hotel, voucher, hotel tax, meals, rt."
" It appears it is time that this article (originally posted by Larry Cipriani last year, and which I saved) gets posted again. It offers as good an analysis of the meaning of the Second Amendment, especially regarding the militia clause, as I have seen. I have…",Physical Threat,58.0,0.58,neutral,0.0,Medium,"['bear arms', 'amendment', 'arms', 'second amendment', 'bear', 'sentence', 'right', 'militia']","['Larry\nCipriani (PERSON)', 'last year (DATE)', 'Flames (ORG)', 'Begin Enclosed (PERSON)', 'J. Neil Schulman (PERSON)', 'Carl Sagan (PERSON)', 'Norman Schwarzkopf (PERSON)', 'the United States Constitution (ORG)']","Physical Threat signal detected. Key terms: bear arms, amendment, arms, second amendment, bear, sentence."
" Also not a lawyer, etc. but if I remember correctly the Contempt of Court business is used in order to compel cooperation with what is (perhaps questionably, different issue) the legitimate business of that court. Quite literally the party is found guilty of …",Cyber,58.0,0.683,neutral,0.0,Medium,"['contempt', 'court', 'key', 'lawyer', 'guilty', 'business', 'compel', 'charlie']","['the Contempt of Court (ORG)', 'Contempt of Court (ORG)', 'Vincent A. Kub (PERSON)', 'Saints (ORG)', 'S.Dakota (GPE)', 'PGP PUBLIC KEY (ORG)']","Cyber signal detected. Key terms: contempt, court, key, lawyer, guilty, business."
"I also have a pair of size 11-11.5 Raichle Flexon Comps. These boots are black and yellow. they are in good condition. I would like around $100 for them also but feel free to make an offer. Please reply to: crane@coral.bucknell.edu Thanks,…",Fraud,57.9,0.827,neutral,0.0,Medium,"['11', 'like 100', 'offer reply', 'boots', 'yellow', 'edu thanks', 'good condition', 'feel free']",[],"Fraud signal detected. Key terms: 11, like 100, offer reply, boots, yellow, edu thanks."
"psionic@wam.umd.edu, whose parenthesized name is either an unfortunate coincidence or casts serious doubt on his bona fides, posts a message in which he seems willing to take the word of a private firm about which he knows little that their new encryption algo…",Cyber,57.9,0.681,positive,1.0,Medium,"['firm', 'message', 'hard evidence', 'umd edu', 'trapdoors', 'phrasing', 'umd', 'algorithm secure']","['NSA (ORG)', 'David (PERSON)']","Cyber signal detected. Key terms: firm, message, hard evidence, umd edu, trapdoors, phrasing."
Just saw on CNN that the independent team that examined the Waco fire and reported that it was started inside by the BDs is now under question. The attoneys for the BD's are claiming that it's not an impartial team for the team leader is the wife of one of the…,Physical Threat,57.8,0.578,positive,1.0,Medium,"['team', 'impartial', 'ab', 'ha', 'batf agents', 'examined', 'goverment', 'daniel']","['CNN (ORG)', 'Waco (PERSON)', 'BD (ORG)', 'BATF (ORG)', 'Daniel R. Oldham (PERSON)']","Physical Threat signal detected. Key terms: team, impartial, ab, ha, batf agents, examined."
These programs all include complete printed manuals and registration cards. I need to get rid of some excess. They're the latest versions. I've priced these programs at less than half the list price and significantly less than the cheapest mail-order price aro…,Fraud,57.3,0.818,neutral,0.0,Medium,"['jokes', 'list', 'programs', 'sale', 'includes', 'database', '49', 'quickly']","['MICROSOFT ENTERTAINMENT PACK VOLUME ONE (ORG)', 'Tetris (GPE)', 'Taipei (GPE)', 'Minesweeper (GPE)', 'TicTactics (ORG)', 'Cruel (PERSON)', 'DOS (ORG)', 'RAM (ORG)']","Fraud signal detected. Key terms: jokes, list, programs, sale, includes, database."
"16 bit MFM FD/HD controller - $25/b.o. copy card w/ software and cable - $30/b.o. (can copy any protected software) if interested, please reply to this account …",Fraud,57.3,0.819,neutral,0.0,Medium,"['copy', 'software', 'reply account', 'interested reply', 'mfm', 'fd', '16 bit', 'hd']",['MFM FD (ORG)'],"Fraud signal detected. Key terms: copy, software, reply account, interested reply, mfm, fd."
" >I guess that you are a person who dislikes contact with >people of ethnic minority. However, your argument again falls >flat on its face. You state that you, under an >anti-discrimination bill, would be forced to associate with >others [homosexuals, I assume…",Sanctions/Compliance,57.2,0.763,neutral,0.0,Medium,"['associate', 'forced', 'homosexual', 'argument', 'people', 'large', 'basement', 'large group']","['Freedom Of Asscoiation (ORG)', 'Love Canal (PERSON)']","Sanctions/Compliance signal detected. Key terms: associate, forced, homosexual, argument, people, large."
I'm selling $388 worth of chemicals for $100 or I'll split it in two for $50 dollars apeice. Aprox. 380 1oz bottles. Will make a great chem set. Will pay shipping up to $15. If really interested I will mail a partial list. Please contact by e-mail only …,Fraud,57.0,0.815,neutral,0.0,Medium,"['partial list', '388', '380', 'really interested', 'bottles', 'mail', 'contact mail', 'interested mail']",['Aprox (ORG)'],"Fraud signal detected. Key terms: partial list, 388, 380, really interested, bottles, mail."
"A friend of mine would like to sell his 850 MB SCSI drive for $800 + S/H. It is a full-height drive, and has been used for about one and a half years. If anyone is interested, please e-mail me. Thank you.…",Fraud,57.0,0.815,neutral,0.0,Medium,"['drive', '850', 'scsi drive', 'interested mail', 'height', 'like sell', 'mb', 'scsi']",['MB (ORG)'],"Fraud signal detected. Key terms: drive, 850, scsi drive, interested mail, height, like sell."
"I have the following software for sale, prices are neogotiable, MS-Window 3.1, by Gateway, with manuals, $20 MS-Work with manuals, $30 PC-TOOLS 7.1 with all manuals, $40 MS-DOS 6.0! $20 All softwares are almost new…",Fraud,57.0,0.814,neutral,0.0,Medium,"['ms', 'manuals', 'softwares', '20', 'gateway', 'ms dos', 'tools', 'window']","['Gateway (PERSON)', 'MS-Work (ORG)', 'MS-DOS 6.0 (ORG)']","Fraud signal detected. Key terms: ms, manuals, softwares, 20, gateway, ms dos."
" Actually, if I were one of the survivors and wanted to institute a civil rights violation lawsuit against the Treasury Dept., I would claim that the BATF/FBI itself was to blame for any mass hysteria/insanity...…",Physical Threat,56.8,0.568,neutral,0.0,Medium,"['lawsuit', 'treasury', 'batf fbi', 'dept', 'survivors', 'violation', 'civil rights', 'blame']","['Treasury (ORG)', 'FBI (ORG)']","Physical Threat signal detected. Key terms: lawsuit, treasury, batf fbi, dept, survivors, violation."
" Well, for one thing most, if not all the Dividians (depending on whether they could show they acted in self-defense and there were no illegal weapons), could have gone on with their life as they were living it. No one was forcing them to give up their religio…",Physical Threat,56.4,0.564,negative,-1.0,Medium,"['dividians', 'koresch', 'don', 'weapons', 'don know', 'set', 'masada', 'know']","['Dividians (ORG)', 'Koresch (ORG)', 'Masada (GPE)']","Physical Threat signal detected. Key terms: dividians, koresch, don, weapons, don know, set."
Nikkor AF 70-210 f/4-5.6 zoom lens. Excellent condition. I'm looking to get the 2.8 version so I'm selling this.…,Fraud,56.3,0.805,neutral,0.0,Medium,"['nikkor', 'zoom lens', '210', 'af', 'zoom', 'lens', 'excellent condition', '70']",['Nikkor (ORG)'],"Fraud signal detected. Key terms: nikkor, zoom lens, 210, af, zoom, lens."
"o Sony Color Watchman, model FDL-310 - VHF/UHF - 86,400 pixels; 2.7 inch (diag) screen - dimensions 3 3/8"" x 6 1/8"" x 1 3/16"" - bright, vibrant colors, and very sharp (unlike the Casio pocket TVs) - AC power adapter - paid $300.00 Asking $150.00 obo …",Fraud,56.3,0.804,neutral,0.0,Medium,"['00', '00 obo', 'uhf', '150 00', 'ac power', 'paid 300', 'casio', 'bright']","['Sony (ORG)', 'Color Watchman (PERSON)', 'FDL-310\n  - VHF (PERSON)', 'Casio (GPE)']","Fraud signal detected. Key terms: 00, 00 obo, uhf, 150 00, ac power, paid 300."
 It means that the EFF's public stance is complicated with issues irrelevant to the encryption issue per se. There may well be people who care about the encryption issue who don't care to associate themselves with the network erotica issue (or may even disagre…,Cyber,56.2,0.661,neutral,0.0,Medium,"['issue', 'eff', 'care', 'encryption', 'issue don', 'people care', 'stance', 'complicated']",['EFF (ORG)'],"Cyber signal detected. Key terms: issue, eff, care, encryption, issue don, people care."
" And thus, COINTELPRO, in which horrible people who threatened the republic by disagreeing with the Government were systematically kept track of for years... -- Perry Metzger pmetzger@shearson.com…",Cyber,56.1,0.66,neutral,0.0,Medium,"['cointelpro', 'systematically', 'republic', 'metzger pmetzger', 'pmetzger shearson', 'shearson', 'pmetzger', 'shearson com']","['Government (ORG)', 'years (DATE)', 'Perry Metzger (PERSON)']","Cyber signal detected. Key terms: cointelpro, systematically, republic, metzger pmetzger, pmetzger shearson, shearson."
"------------------------------------- Apple //e System For Sale -------------------------------------- Apple //e, enhanced, 65c02 CPU w/64k on motherboard Apple Extended 80-column card; expands memory to 128k total 2 5.25"" Floppy Drives (Apple Disk ]['s) with …",Fraud,56.1,0.802,neutral,0.0,Medium,"['apple', 'docs', 'original', 'controller card', 'game', 'card', 'forth', 'floppy']","['Apple (ORG)', 'CPU w/64k (ORG)', 'Apple Controller Card (ORG)', 'Apple Controller Card\n (ORG)', 'Baud External (ORG)', 'ProDOS & DOS 3.3 System (ORG)', 'Cheap Communications (ORG)', 'Isys FORTH (ORG)']","Fraud signal detected. Key terms: apple, docs, original, controller card, game, card."
Nikkor 70-210 AF for immediate sale. Excellent condition.…,Fraud,56.0,0.8,neutral,0.0,Medium,"['nikkor', 'sale excellent', '210', 'af', 'excellent condition', '70', 'immediate', 'excellent']",['Nikkor (ORG)'],"Fraud signal detected. Key terms: nikkor, sale excellent, 210, af, excellent condition, 70."
"Well, the question of why fire equipment took so long to reach the compound has been answered. ABC aired a report including the 911 tapes from Monday. The FBI called 911 within 4 minutes of the fire's breakout. Unfortunately, dispatch of vehicles outside the W…",Physical Threat,55.9,0.559,negative,-1.0,Medium,"['911', 'fbi', 'abc', 'waco', 'branch davidians', 'called', 'minutes', 'tapes']","['ABC (ORG)', 'Monday (DATE)', 'FBI (ORG)', 'Waco (GPE)', 'Waco (PERSON)', 'Waco (ORG)', 'Georgia (GPE)', 'Koresh (ORG)']","Physical Threat signal detected. Key terms: 911, fbi, abc, waco, branch davidians, called."
" Actually, Jerry Brown essentially did...and Clinton, in his demagogue persona, condemned Brown for it in the crucial NY primary last year. However.... Why don't the Republicans get their act together, and say they will support a broad-based VAT that would hav…",Sanctions/Compliance,55.9,0.745,positive,1.0,Medium,"['tax', 'rate', 'clintons', 'frozen', 'care reform', 'vat', 'reform', 'brown']","['Jerry Brown (PERSON)', 'Clinton (PERSON)', 'Brown (PERSON)', 'NY (ORG)', 'last year (DATE)', 'VAT (ORG)', 'Canada (GPE)', 'Europe (LOC)']","Sanctions/Compliance signal detected. Key terms: tax, rate, clintons, frozen, care reform, vat."
I have the following equipment for sale: 1. Kenwood TH-28A 2mtr HT $250.00 2. RF Concepts 2mtr Amp (45in->170out) $275.00 3. Hamtronics Class C Continuous Duty 440mhz 10watt-in ~40watt-out amp $250.00 All prices include shipping/insurance. For additional infor…,Fraud,55.8,0.797,neutral,0.0,Medium,"['250 00', 'amp', '00', '250', 'kenwood', 'information contact', 'ht', 'continuous']","['Amp (PERSON)', '45in->170out (DATE)', 'Dave (PERSON)']","Fraud signal detected. Key terms: 250 00, amp, 00, 250, kenwood, information contact."
Selling X-men for the C64/128 for only $10 plus shipping. first email gets it...…,Fraud,55.7,0.795,neutral,0.0,Medium,"['c64', 'plus shipping', '128', 'selling', 'plus', 'gets', 'men', 'shipping']",['C64/128 (ORG)'],"Fraud signal detected. Key terms: c64, plus shipping, 128, selling, plus, gets."
"I have a Sega Genesis (barely used) that IUd like to sell with the following games: Sonic the Hedgehog (I) Revenge of Shinobi Thunderforce III I'm asking $160 OBO. I can best be reached via email, or alternatively, by phone at: (415) 497-3719.…",Fraud,55.5,0.793,neutral,0.0,Medium,"['shinobi', 'revenge shinobi', 'sonic', 'reached email', 'alternatively', '497', 'following games', 'sega genesis']","['a Sega Genesis (PERSON)', 'OBO (ORG)']","Fraud signal detected. Key terms: shinobi, revenge shinobi, sonic, reached email, alternatively, 497."
"Tasco 18EB 20X-60X60mm, used once, looks like new, worth $170, sell $70 only. Buyers pay shipping.…",Fraud,55.4,0.792,neutral,0.0,Medium,"['170', 'buyers', 'like new', 'pay shipping', 'looks like', '70', 'looks', 'worth']",[],"Fraud signal detected. Key terms: 170, buyers, like new, pay shipping, looks like, 70."
"/* posted for a friend -- please reply to him */ ++++++++++++++++++++++++ CAR AMPLIFIERS FOR SALE +++++++++++++++++++++++++ I have 3 high-end car amplifiers for sale: (2) Old-Style Rockford Fosgate 150's. These are great amps, and I've never had a minute's tro…",Fraud,55.0,0.786,neutral,0.0,Medium,"['gatech edu', 'gatech', 'hacker', 'high end', 'end', 've', 'high', 'chase']","['2150 (DATE)', 'Chase Hacker                           (PERSON)', 'DCD (ORG)', 'hacker@krusty.gtri.gatech.edu (PERSON)', 'Mike Goldsman (PERSON)']","Fraud signal detected. Key terms: gatech edu, gatech, hacker, high end, end, ve."
"Hi Fellows, I have : -------------------------------------------------------- 36 pcs. 1x1-80 $102 + $5.00 for shipping. Total 107.00 -------------------------------------------------------- If interested, respond here or call 408/942-9690 Fax 408/942-9693 …",Fraud,54.9,0.784,neutral,0.0,Medium,"['408', '00', 'interested respond', 'pcs', '102', '107', '00 shipping', '36']",['Fellows (PERSON)'],"Fraud signal detected. Key terms: 408, 00, interested respond, pcs, 102, 107."
" Back your statments with proof, or shut up. Again, back your statements or shut up. Hmm... Tell me, did you go to the Mickey Mouse school of logic? You have just stated that there are not many homosexuals as Kinsey reported in his survey (and the surveys of t…",Sanctions/Compliance,54.9,0.732,positive,1.0,Medium,"['kinsey', 'shut', 'kinsey institute', 'homosexuals', 'institute', 'statements', 'logic', 'gay']","['Mickey Mouse (PERSON)', 'Kinsey (ORG)', 'the Kinsey Institute (ORG)', 'a week (DATE)', 'Next (ORG)']","Sanctions/Compliance signal detected. Key terms: kinsey, shut, kinsey institute, homosexuals, institute, statements."
Quotes from Our Daily Bread Our Daily Bread is a devotional help for spiritual growth. One can spend some ten to fifteen minutes at most reading the daily portion of scriptures and a related short article that brings the scriptures alive in applying in today's…,Harassment,54.9,0.997,neutral,0.0,Medium,"['god', 'psalm', 'corinthians', '12', 'matthew', 'life', '11', '31']","['daily (DATE)', 'today (DATE)', 'Daily Bread (PERSON)', 'Biblical Communication (ORG)', 'FREE (ORG)', 'Radio Bible (ORG)', '1989 (DATE)', 'Grand Rapids (GPE)']","Harassment signal detected. Key terms: god, psalm, corinthians, 12, matthew, life."
"CALL FOR PAPERS The Internet Society Symposium on Network and Distributed System Security 3-4 February 1994, Catamaran Hotel, San Diego, California The symposium will bring together people who are building software and hardware to provide network or distribute…",Cyber,54.9,0.646,positive,1.0,Medium,"['submissions', 'symposium', 'systems', 'mitre', 'papers', 'services', 'network', 'security']","['February 1994 (DATE)', 'Catamaran Hotel (PERSON)', 'San Diego (GPE)', 'California (GPE)', 'Requirements (PERSON)', 'Dan Nessett (PERSON)', 'Lawrence Livermore National Laboratory\n\nPROGRAM (ORG)', 'Russ Housley (PERSON)']","Cyber signal detected. Key terms: submissions, symposium, systems, mitre, papers, services."
 GOT HIM! Cramer is now claiming that pedophilia is a sexual orientation rather than a chronicly homosexual condition. This changes the whole argument in as much that is pedophilia is a sexual orientation all of its own peds cannot be called homosexual. Peds a…,Sanctions/Compliance,54.9,0.731,neutral,0.0,Medium,"['sexual orientation', 'preference', 'cramer', 'orientation', 'sexual', 'homosexual', 'orientations', 'xavier']","['Cramer (PERSON)', 'Peds (PERSON)']","Sanctions/Compliance signal detected. Key terms: sexual orientation, preference, cramer, orientation, sexual, homosexual."
"day Brent shows his ignorance once again. Power had been cut for weeks. And he's never lived in a rural area if he thinks electric stoves have favor there. They stop working when the power fails, and power restoration come MUCH slower in the country, than the …",Physical Threat,54.8,0.548,neutral,0.0,Medium,"['stoves', 'power', 'prefered', 'ovens', 'lp', 'restoration', 'slower', 'rural']","['weeks (DATE)', 'Jim (PERSON)']","Physical Threat signal detected. Key terms: stoves, power, prefered, ovens, lp, restoration."
" Darren> In an earlier article, I explained that what many people find Darren> arrogant about Christians is that some Christians profess Darren> absolute certainty about their beliefs and doctrines. and Darren> In short, the problem is that no matter how good …",Harassment,54.8,0.996,neutral,0.0,Medium,"['truth', 'reason', 'scripture', 'luther', 'lutheran', 'god', 'lord', 'supper']","['Darren (PERSON)', 'Darren> (PERSON)', 'Darren (ORG)', 'Lutheran (ORG)', 'Luther (PERSON)', 'Jesus (PERSON)', 'Peter (PERSON)', 'Pentecost (GPE)']","Harassment signal detected. Key terms: truth, reason, scripture, luther, lutheran, god."
" Dear Tim: You say that you were a ""catholic,"" but if you do not believe in the Christian God (I suppose that means the God of the Bible) and publicly state this, you are in all probability not a Roman Catholic. ""Public heretics, even those who err in good fai…",Harassment,54.7,0.994,neutral,0.0,Medium,"['god', 'catholic', 'belong', 'judge', 'heretics', 'best', 'scripture', 'ii']","['the Church"" (Fundamentals of Catholic Dogma (ORG)', '1960 (DATE)', 'Ludwig Ott (PERSON)', 'St. Paul \n1 (GPE)', 'Apostle (PERSON)', 'Abraham (PERSON)', 'Isaac (PERSON)', 'Jacob (PERSON)']","Harassment signal detected. Key terms: god, catholic, belong, judge, heretics, best."
"A listmember (D Andrew Killie, I think) wrote, in response to the suggestion that genocide may sometimes be the will of God: > Any God who works that way is indescribably evil, > and unworthy of my worship or faith. Nobuya ""Higgy"" Higashiyama replied (as, in s…",Harassment,54.6,0.993,negative,-0.6,Medium,"['god', 'brothers', 'fisher', 'judaism', 'good', 'joseph', 'suppose', 'worship']","['Andrew Killie (PERSON)', 'God (PERSON)', 'Scripture (GPE)', 'Genesis (ORG)']","Harassment signal detected. Key terms: god, brothers, fisher, judaism, good, joseph."
To: All GVC Technologies v.32 9600bps modem 9600/4800/2400/1200/300 bps operation with Automatic Speed Selection. CCITT v.32/v.22bis/v.22/v.21 full-duplex operation. Asynchronous operation. Auto-answer & auto-dial: automatically switch between data and voice t…,Fraud,54.5,0.779,neutral,0.0,Medium,"['dino', 'pics', 'mail', 'operation', 'com', 'bps', 'reply', 'modem']","['Automatic Speed\nSelection (ORG)', 'Modem (ORG)', 'Mint (ORG)', 'DO NOT REPLY (ORG)', 'E-Mail (ORG)', 'Weston Drive (GPE)', 'Cherry Hill (PERSON)', 'NJ (ORG)']","Fraud signal detected. Key terms: dino, pics, mail, operation, com, bps."
"This is being posted as a general outline for your personal study of this doctrine: THE DOCTRINE OF GOD I. THE PERSONS OF THE GODHEAD Of all of the doctrines of Scripture, this is the most important. The Bible is pre-eminently a revelation of God. Therefore, o…",Harassment,54.3,0.987,positive,1.0,Medium,"['cf', 'god', 'salvation', 'godhead', 'john', 'god father', 'believer', 'persons']","['Trinity (ORG)', 'Jesus Christ (PERSON)', 'John (PERSON)', 'CHARACTERISTICS (ORG)', 'GODHEAD (ORG)', 'Jehovah (PERSON)', 'Cf (PERSON)', 'John 4:24. (PERSON)']","Harassment signal detected. Key terms: cf, god, salvation, godhead, john, god father."
"I posted this a couple of weeks ago, and it doesn't seem to have appeared on the newsgroup, and I haven't had a reply from the moderator. We were having intermittent problems with our mail at the time. Please excuse me if you have seen this before... Should Ch…",Harassment,54.3,0.987,neutral,0.0,Medium,"['god', 'unbelievers', 'ye', 'servants', 'christ', 'cor', 'unto', 'man']","['a couple of weeks ago (DATE)', 'Last week (DATE)', 'Alastair (PERSON)', 'Gal 6:10 (DATE)', 'Samaritan (PERSON)', 'Luke (PERSON)', 'Israel (GPE)', '2:11-12 (DATE)']","Harassment signal detected. Key terms: god, unbelievers, ye, servants, christ, cor."
"Golgotha the whole process of the fall of man This was precisely my point. From a theological bent, those who lived immediately after the flood, such as Noah, Ham, his son Cush, and his son Nimrod had a much stronger appreciation of Divine wrath. They also had…",Harassment,54.3,0.987,positive,1.0,Medium,"['god', 'wrath', 'heavens', 'lost', 'greece', 'son', 'oath', 'mystery']","['Noah (PERSON)', 'Cush (PERSON)', 'Nimrod (PERSON)', 'Divine (ORG)', 'Atlas (PERSON)', 'Deliverer (ORG)', 'Phoroneus (PERSON)', 'Adam (PERSON)']","Harassment signal detected. Key terms: god, wrath, heavens, lost, greece, son."
"Biblical basis for the Immaculate Conception: 1) ""I will put enmity between you [the Serpent] and the woman, and between your seed and her seed, she [can also be read he] shall crush your head and you shall bruise her [or his] heel."" -Genesis 3.15 2) ""He who c…",Harassment,54.3,0.987,positive,1.0,Medium,"['grace', 'satan', 'mary', 'conception', 'seed', 'god', 'john', 'genesis 15']","['Biblical (ORG)', 'the Immaculate Conception (ORG)', 'John 3.8\n\n (PERSON)', 'Genesis (ORG)', 'Satan (GPE)', 'John 8.44 (PERSON)', 'Mary (PERSON)', 'Jesus Christ (PERSON)']","Harassment signal detected. Key terms: grace, satan, mary, conception, seed, god."
